ExerciseName,Type
Planks,Strength
Pull-Ups,Strength
Push-Ups,Strength
Romanian Deadlifts,Strength
Russian Twists,Strength
Side Planks,Strength
Sled Push,Strength
Snatch,Strength
Squats,Strength
Step-Ups,Strength
Sumo Squats,Strength
Tire Flips,Strength
Tricep Dips,Strength
Weighted Sit-Ups,Strength
